episode,step,potato_index,angle,x,y,reward,tower_height,contacts,dx,dy,potatoes_used
1,1,0,330.0,400.00,500.00,78.29,28.28,1,0.00,0.00,1
1,2,4,240.0,391.73,471.72,48.66,28.31,1,76.48,-13.33,2
1,4,3,300.0,467.85,458.36,59.22,28.31,1,13.10,-73.92,3
1,5,1,90.0,474.43,384.44,82.86,28.31,2,137.98,-30.87,4
2,1,1,150.0,400.00,500.00,72.23,26.11,1,0.00,0.00,1
2,2,3,270.0,415.09,473.89,59.39,26.09,1,0.85,-63.09,2
2,3,0,300.0,415.44,410.82,18.16,26.09,1,261.12,8.96,3
2,4,2,240.0,237.84,471.85,61.98,26.10,1,94.96,-6.11,4
3,1,4,330.0,400.00,500.00,93.93,36.96,1,0.00,0.00,1
3,2,2,150.0,421.41,463.04,80.03,36.96,1,5.39,-64.09,2
3,3,1,90.0,424.11,398.94,90.12,36.99,1,8.07,-61.23,3
3,4,3,210.0,420.33,339.14,68.10,27.67,1,61.03,-25.19,4
4,1,2,210.0,400.00,500.00,85.63,31.11,1,0.00,0.00,1
4,2,1,270.0,393.40,468.89,81.27,31.15,2,50.73,-4.39,2
4,4,4,210.0,342.40,464.46,89.25,31.14,2,51.27,-13.86,3
4,5,0,120.0,291.63,450.79,97.99,31.17,2,36.22,-35.51,4
5,1,0,270.0,400.00,500.00,72.25,24.72,1,0.00,0.00,1
5,5,4,60.0,392.81,475.28,43.42,24.73,1,65.61,-14.57,2
6,1,0,150.0,400.00,500.00,74.38,23.79,1,0.00,0.00,1
6,2,4,90.0,403.20,476.21,42.23,25.16,1,74.40,-16.05,2
6,4,1,30.0,315.03,458.80,59.50,25.16,1,1.21,-52.88,3
6,5,3,180.0,314.98,405.91,71.27,25.16,1,5.56,-39.67,4
7,1,4,120.0,400.00,500.00,90.81,35.40,1,0.00,0.00,1
7,2,3,180.0,413.13,464.60,75.74,35.39,1,7.81,-67.43,2
7,3,2,30.0,417.07,397.18,43.56,39.94,0,48.28,-33.29,3
8,1,4,240.0,400.00,500.00,101.68,35.87,1,0.00,0.00,1
8,4,0,90.0,400.05,464.13,31.56,27.87,1,162.83,8.05,2
8,5,1,240.0,241.30,472.13,85.65,27.89,2,41.32,-9.29,3
9,1,1,300.0,400.00,500.00,59.13,24.57,1,0.00,0.00,1
9,2,2,330.0,435.06,475.43,29.68,24.57,1,140.89,-6.43,2
9,3,0,300.0,576.07,469.00,58.03,24.57,1,3.71,-51.82,3
9,5,3,270.0,579.73,417.17,77.87,24.57,2,67.20,39.11,4
10,1,2,0.0,400.00,500.00,88.32,32.70,1,0.00,0.00,1
10,2,3,0.0,392.91,467.30,44.61,30.05,1,125.39,2.09,2
10,4,1,150.0,538.56,469.95,69.69,30.07,1,2.72,-49.57,3
11,1,4,300.0,400.00,500.00,86.05,38.02,1,0.00,0.00,1
11,2,2,300.0,446.96,461.98,72.02,38.02,1,7.02,-63.10,2
11,4,0,300.0,450.48,398.88,84.57,28.44,2,57.82,3.72,3
12,1,2,210.0,400.00,500.00,85.63,31.11,1,0.00,0.00,1
12,3,1,60.0,393.40,468.89,39.28,27.12,1,120.75,4.00,2
13,1,3,180.0,400.00,500.00,66.77,22.20,1,0.00,0.00,1
13,2,4,90.0,392.36,477.80,47.43,22.12,1,16.39,-67.68,2
13,3,0,90.0,379.54,410.20,12.79,22.15,1,237.31,20.19,3
13,4,1,120.0,546.91,475.16,81.40,22.33,2,63.49,-2.75,4
14,1,3,240.0,400.00,500.00,53.08,21.54,1,0.00,0.00,1
14,2,2,60.0,356.95,478.46,39.46,21.60,1,8.14,-60.51,2
14,4,0,90.0,350.79,417.90,52.77,21.60,1,1.93,-50.20,3
15,1,1,30.0,400.00,500.00,68.44,24.22,1,0.00,0.00,1
15,2,2,0.0,388.80,475.78,55.59,24.23,1,16.66,-47.70,2
15,3,3,210.0,372.42,428.07,73.87,24.23,2,69.73,-3.24,3
15,4,4,300.0,248.45,462.22,80.44,24.23,2,38.94,-51.16,4
15,5,0,270.0,284.19,411.02,91.20,24.23,1,4.40,-56.89,5
16,1,0,210.0,400.00,500.00,70.05,25.03,1,0.00,0.00,1
16,2,3,30.0,417.04,474.97,32.75,25.03,1,130.48,-6.06,2
16,3,1,150.0,286.27,468.91,59.52,25.03,1,4.29,-48.38,3
17,1,3,270.0,400.00,500.00,125.81,47.91,1,0.00,0.00,1
17,2,0,270.0,400.01,452.09,26.77,24.72,1,140.15,23.21,2
17,5,1,240.0,262.08,475.28,48.72,24.73,1,103.33,-0.33,3
18,1,3,270.0,400.00,500.00,125.81,47.91,1,0.00,0.00,1
18,2,0,240.0,400.01,452.09,59.09,31.72,1,55.50,16.22,2
18,3,4,270.0,347.06,468.28,64.85,29.23,1,56.80,-11.25,3
18,4,2,90.0,259.58,459.52,74.24,29.23,1,10.26,-60.83,4
